Maravilla,Latitud,Longitud
Monterrey,25.6866,-100.3161
Guadalupe,25.6769,-100.2464
San Nicolas de los Garza,25.7502,-100.2844
San Pedro Garza Garcia,25.6572,-100.4018
Santa Catarina,25.6751,-100.4608
Apodaca,25.7809,-100.1883
Escobedo,25.8091,-100.3223
Garcia,25.8111,-100.5931
Juarez,25.6453,-100.0964
Cadereyta Jimenez,25.5878,-100.0003
Santiago,25.4233,-100.1508
Allende,25.2819,-100.0178
Montemorelos,25.1878,-99.8267
Linares,24.8569,-99.5675
Anahuac,27.2439,-100.1314
Sabinas Hidalgo,26.5014,-100.1744
Mina,26.0011,-100.5286
Galeana,24.8253,-100.0717
Doctor Arroyo,23.6736,-100.1783
General Teran,25.2633,-99.6847
